R,TFTCT,WSLS,GTFT-0.5,GTFT-0.6,GTFT0.7,GTFT0.8,GTFT0.9
2.5,0.995575,0,4.01E-04,5.94E-04,8.15E-04,0.00102169,0.001021932
2.6,0.99411,0,7.19E-08,1.00E-07,2.03E-05,8.37E-04,0.002610031
3,0.784576,0,7.67E-11,3.39E-10,1.44E-04,0.007924229,0.157
3.55,0.505851,0,2.49E-14,6.90E-14,5.52E-09,0.16367834,0.332740915
3.6,0.466659,0,1.28E-05,1.28E-05,4.03E-04,0.335671453,0.512236307
3.62,0.461221,0,1.01E-04,1.01E-04,1.95E-04,0.331142213,0.516889336
3.625,6.54E-04,0,0.041660768,0.899486536,0.961774539,0.976279547,0.982164616
3.63,2.55E-04,0,0.027148281,0.90711076,0.969613672,0.982004423,0.984431978
3.67,4.63E-13,0,0.002230266,0.867908919,0.963339217,0.979963322,0.984407145
3.675,0,0.999369,2.77E-74,2.77E-74,4.43E-72,2.63E-26,2.63E-26
3.68,0,0.999465,2.48E-26,2.48E-26,2.48E-26,2.48E-26,2.48E-26
3.75,0,0.999375,4.75E-260,2.15E-23,2.15E-23,2.15E-23,2.85E-18
4,0,0.99952,0,1.30E-64,1.30E-64,1.30E-64,1.30E-64
4.5,0,0.999646,0,0,1.78E-20,1.78E-20,1.78E-20
